ISBN,Book_title,Category,Rental_Price,Status,Author,Publisher
978-0-09-957807-9,A Game of Thrones,Fantasy,623,Yes,George R.R. Martin,Bantam
978-0-14-044930-3,The Histories,History,457,Yes,Herodotus,Penguin Classics
978-0-14-118776-1,One Hundred Years of Solitude,Literary Fiction,540,Yes,Gabriel Garcia Marquez,Penguin Books
978-0-141-44171-6,Jane Eyre,Classic,332,No,Charlotte Bronte,Penguin Classics
978-0-19-280551-1,The Guns of August,History,581,Yes,Barbara W. Tuchman,Oxford University Press
978-0-307-37840-1,The Alchemist,Fiction,208,Yes,Paulo Coelho,HarperOne
978-0-307-58837-1,Sapiens: A Brief History of Humankind,History,664,No,Yuval Noah Harari,Harper Perennial
978-0-330-25864-8,Animal Farm,Classic,457,Yes,George Orwell,Penguin Books
978-0-375-41398-8,The Diary of a Young Girl,History,540,Yes,Anne Frank,Bantam
978-0-393-05081-8,A People's History of the United States,History,747,Yes,Howard Zinn,Harper Perennial
978-0-393-91257-8,"Guns, Germs, and Steel: The Fates of Human Societies",History,581,Yes,Jared Diamond,W. W. Norton & Company
978-0-525-47535-5,The Great Gatsby,Classic,664,Yes,F. Scott Fitzgerald,Scribner
978-0-553-29698-2,The Catcher in the Rye,Classic,581,Yes,J.D. Salinger,"Little, Brown and Company"
978-0-679-76489-8,Harry Potter and the Sorcerer's Stone,Fantasy,581,Yes,J.K. Rowling,Scholastic
978-0-7432-4722-4,The Da Vinci Code,Mystery,664,Yes,Dan Brown,Doubleday
978-0-7432-7357-1,1491: New Revelations of the Americas Before Columbus,History,540,No,Charles C. Mann,Vintage Books
